"MLog","TransDate","Reason","FromFac","ToFac","VetID","Weight","EstW","WDate","Length","EstL","LDate","Comments","CreateBy","CreateDate","UpdateBy","UpdateDate"
321,2003-06-05 00:00:00.000,Prep,LPZ,LVS,Unk,452,N,2003-06-05 00:00:00.000,282,N,2002-02-08 00:00:00.000,,vedmonds,2003-09-25 00:00:00.000,D,2009-07-09 13:59:06.690
321,2004-03-30 00:00:00.000,Med,LVS,LPZ,Unk,438,N,2004-03-30 00:00:00.000,267,N,2003-01-09 00:00:00.000,Needed medical treament,vedmonds,2004-03-25 00:00:00.000,D,2009-07-09 13:59:06.690
321,2004-11-10 00:00:00.000,Prep,LPZ,MSQ,Unk,525,N,2004-11-09 00:00:00.000,280,N,2004-11-09 00:00:00.000,Expose to salt water & ved,vedmonds,2004-11-10 00:00:00.000,D,2009-07-09 13:59:06.690
323,2000-05-02 00:00:00.000,Med,HSSWP,LPZ,mlowe,1163,N,,380,N,,Medical Emergency,tlinley,2000-05-02 00:00:00.000,D,2009-07-09 13:59:06.690
326,1994-10-06 00:00:00.000,Prep,SWF,MINWR,tcampbell,568,U,,310,U,,staging area for release,rrunnells,1994-10-06 00:00:00.000,D,2009-07-09 13:59:06.690
327,1999-04-19 00:00:00.000,Unk,MSQ,CIN,mrodriguez,409,N,,264,N,,,rrose,1999-04-07 00:00:00.000,D,2009-07-09 13:59:06.690
327,2005-08-27 00:00:00.000,Prep,CIN,SWF,Unk,434,Y,2005-08-27 00:00:00.000,289,N,2004-01-05 00:00:00.000,,mnoell,2006-01-13 00:00:00.000,D,2009-07-09 13:59:06.690
333,1999-05-13 00:00:00.000,Room,SWF,LPZ,mwalsh,529,N,,279,N,,To make room for incoming animals,bwagoner,1999-07-16 00:00:00.000,D,2009-07-09 13:59:06.690
337,1996-07-02 00:00:00.000,Unk,SWF,LVS,tcampbell,204,N,,211,N,,,rrunnells,1996-07-02 00:00:00.000,D,2009-07-09 13:59:06.690
337,1997-02-28 00:00:00.000,Room,LVS,SWF,dbuesse,329,N,,0,U,,Make space for sick animal,rrunnells,1997-03-05 00:00:00.000,D,2009-07-09 13:59:06.690
340,1995-05-16 00:00:00.000,Prep,SWF,MINWR,tcampbell,320,N,,266,N,,To stage animal for direct release at later date.,bwagoner,1995-05-09 00:00:00.000,D,2009-07-09 13:59:06.690
341,1999-03-17 00:00:00.000,Mgmt,MSQ,LVS,mrodriguez,509,N,,279,N,,Population Management,rrose,1999-03-12 00:00:00.000,D,2009-07-09 13:59:06.690
344,1996-06-20 00:00:00.000,Prep,SWF,HSSWP,tcampbell,231,N,1996-06-20 00:00:00.000,204,N,1996-06-20 00:00:00.000,,bwagoner,1996-06-20 00:00:00.000,ngordon,2022-11-22 10:20:58.060
344,1997-04-24 00:00:00.000,Prep,HSSWP,SWF,testfac,230,N,1997-04-29 00:00:00.000,233,N,1997-04-29 00:00:00.000,,ngordon,2022-11-22 10:36:17.303,D,2022-11-22 10:36:17.303
349,1999-03-17 00:00:00.000,Mgmt,MSQ,LVS,mrodriguez,593,N,,292,N,,Population Management,rrose,1999-03-12 00:00:00.000,D,2009-07-09 13:59:06.690
350,1999-04-19 00:00:00.000,Buddy,MSQ,CIN,mrodriguez,363,N,,251,N,,companion animal,rrose,1999-04-07 00:00:00.000,D,2009-07-09 13:59:06.690
350,2003-10-31 00:00:00.000,Prep,CIN,MSQ,Unk,417,N,2003-08-05 00:00:00.000,290,N,2003-08-05 00:00:00.000,I am sorry this is late - I have been unable to access this website until now - he moved from the Cincinnati Zoo to the Miami Seaquarium on 10/31/03 - USFWS was informed before the move-,mnoell,2003-11-21 00:00:00.000,D,2009-07-09 13:59:06.690
355,2023-12-05 00:00:00.000,Mgmt,MSQ,LPZ,mnau,977,N,2023-12-05 00:00:00.000,0,U,2023-12-18 00:00:00.000,,mlippincot,2023-12-18 07:21:00.347,D,2023-12-18 07:21:00.347
356,1989-04-08 00:00:00.000,Med,HSSWP,SWF,mwalsh,30,U,,123,U,,Medical care,jpearson,2009-07-09 13:59:06.690,D,2009-07-09 13:59:06.690
359,1996-06-20 00:00:00.000,Unk,SWF,HSSWP,tcampbell,236,N,,214,N,,HS9613,dbuesse,1996-06-20 00:00:00.000,D,2009-07-09 13:59:06.690
359,2005-10-08 00:00:00.000,Mgmt,HSSWP,COL,Unk,711,N,2005-10-08 00:00:00.000,302,N,2005-08-12 00:00:00.000,"Management decision by USFWS, Jacksonville Office",slowe,2005-10-08 00:00:00.000,D,2009-07-09 13:59:06.690
369,2005-10-09 00:00:00.000,Mgmt,SWF,COL,Unk,911,N,2005-10-08 00:00:00.000,307,N,2004-07-27 00:00:00.000,"Stubby was in papilloma quartine, transferred to
Columbus with two animals from Homosassa Springs.",bwagoner,2005-10-12 00:00:00.000,D,2009-07-09 13:59:06.690
371,1996-06-20 00:00:00.000,Unk,SWF,HSSWP,dbuesse,163,N,,190,N,,"102105",rrunnells,1996-06-20 00:00:00.000,D,2009-07-09 13:59:06.690
371,2005-09-02 00:00:00.000,Med,HSSWP,LPZ,Unk,676,N,2005-09-02 00:00:00.000,328,N,2005-08-12 00:00:00.000,,slowe,2005-09-02 00:00:00.000,D,2009-07-09 13:59:06.690
371,2006-01-24 00:00:00.000,Mgmt,LPZ,SWF,Unk,668,N,2006-09-02 00:00:00.000,328,N,2006-09-02 00:00:00.000,,vedmonds,2006-01-24 00:00:00.000,D,2009-07-09 13:59:06.690
372,1996-06-20 00:00:00.000,Unk,SWF,HSSWP,dbuesse,184,N,,205,N,,,rrunnells,1996-06-20 00:00:00.000,D,2009-07-09 13:59:06.690
372,2005-10-08 00:00:00.000,Mgmt,HSSWP,COL,Unk,883,N,2005-10-08 00:00:00.000,328,N,2005-08-12 00:00:00.000,"Management decision by USFWS, Jacksonville ",slowe,2005-10-08 00:00:00.000,D,2009-07-09 13:59:06.690
372,2010-11-02 00:00:00.000,Prep,COL,SWF,gmyers,2175,N,2010-08-04 00:00:00.000,338,N,2010-08-04 00:00:00.000,,dwarmolts,2010-10-27 15:39:05.367,D,2010-10-27 15:39:05.367
397,1998-03-08 00:00:00.000,Room,SWF,SWC,mwalsh,425,N,,272,N,,To create rehab space at Sea World of Florida as agreed in LOA,rrunnells,1998-01-08 00:00:00.000,D,2009-07-09 13:59:06.690
